Teff	HH14	C24
2400	8.98e-6	5.60e-6
2500	1.49e-5	9.76e-6
2600	2.35e-5	1.60e-5
2700	3.37e-5	2.38e-5
2800	4.26e-5	3.10e-5
2900	5.30e-5	3.95e-5
3000	5.80e-5	4.41e-5
3100	6.41e-5	4.97e-5
3200	6.98e-5	5.51e-5
3300	7.52e-5	6.04e-5
3400	7.93e-5	6.48e-5
3500	8.20e-5	6.82e-5
3600	8.43e-5	7.14e-5
3700	8.58e-5	7.39e-5
3800	8.73e-5	7.66e-5
3900	8.80e-5	7.86e-5
4000	8.89e-5	8.09e-5
4100	8.83e-5	8.18e-5
4200	8.75e-5	8.25e-5
4300	8.90e-5	8.53e-5
4400	9.04e-5	8.80e-5
4500	9.18e-5	9.18e-5
4600	9.31e-5	9.31e-5
4700	9.41e-5	9.41e-5
4800	9.50e-5	9.50e-5
4900	9.56e-5	9.56e-5
5000	9.59e-5	9.59e-5
5100	9.64e-5	9.64e-5
5200	9.66e-5	9.66e-5
5300	9.64e-5	9.64e-5
5400	9.61e-5	9.61e-5
5500	9.56e-5	9.56e-5
5600	9.51e-5	9.51e-5
5700	9.44e-5	9.44e-5
5800	9.36e-5	9.36e-5
5900	9.28e-5	9.28e-5
6000	9.18e-5	9.18e-5
6200	8.99e-5	8.99e-5
6400	8.78e-5	8.78e-5
6600	8.55e-5	8.55e-5
6800	8.32e-5	8.32e-5
7000	8.12e-5	8.12e-5
7200	7.90e-5	7.90e-5
7400	7.66e-5	7.66e-5
7600	7.41e-5	7.41e-5
7800	7.17e-5	7.17e-5
8000	6.92e-5	6.92e-5
8200	6.66e-5	6.66e-5
8400	6.42e-5	6.42e-5
8600	6.15e-5	6.15e-5
8800	5.88e-5	5.88e-5
9000	5.61e-5	5.61e-5
9200	5.37e-5	5.37e-5
9400	5.12e-5	5.12e-5
9600	4.86e-5	4.86e-5
9800	4.63e-5	4.63e-5
10000	4.41e-5	4.41e-5
