# wl	flux	err
3.200000000000000000e+03	8.594732781895351748e-16	5.187583762082450810e-17
3.201000000000000000e+03	1.015706921555310128e-15	5.359730986965246544e-17
3.202000000000000000e+03	8.910529736288524718e-16	5.348883364178111057e-17
3.203000000000000000e+03	1.141614605783485198e-15	5.094126889763249087e-17
3.204000000000000000e+03	1.100596404020775158e-15	4.891136151157575369e-17
3.205000000000000000e+03	9.575793702883925456e-16	4.705888537189561590e-17
3.206000000000000000e+03	9.542598108387026003e-16	4.326792267369357862e-17
3.207000000000000000e+03	9.870637389959175530e-16	4.464080736370829105e-17
3.208000000000000000e+03	9.716166140042386457e-16	4.323238358582309833e-17
3.209000000000000000e+03	9.048047792305280704e-16	4.067790270973308471e-17
3.210000000000000000e+03	9.914182379096027793e-16	4.335413523761648427e-17
3.211000000000000000e+03	9.801259064253791234e-16	4.465577521423301827e-17
3.212000000000000000e+03	1.117930317533344703e-15	4.697220545643678040e-17
3.213000000000000000e+03	1.107028941313630860e-15	4.924693209502106863e-17
3.214000000000000000e+03	8.449663690202235784e-16	5.180556355520511753e-17
3.215000000000000000e+03	9.500167125371977533e-16	4.960830096589579818e-17
3.216000000000000000e+03	1.044449508342463936e-15	4.613112438486592404e-17
3.217000000000000000e+03	1.009513010243377749e-15	4.715159390463653510e-17
3.218000000000000000e+03	8.884314898954529054e-16	4.367776475917088881e-17
3.219000000000000000e+03	9.323770760894909748e-16	4.302842985638034005e-17
3.220000000000000000e+03	9.100506871726449515e-16	4.261769983508029322e-17
3.221000000000000000e+03	9.121276159229894737e-16	3.830089676365139564e-17
3.222000000000000000e+03	8.707775538967038394e-16	3.462194989975876927e-17
3.223000000000000000e+03	8.851762453198046097e-16	3.193715242889251778e-17
3.224000000000000000e+03	9.564552180243337936e-16	2.982822178575197691e-17
3.225000000000000000e+03	9.662479208425417582e-16	3.172328524902273655e-17
3.226000000000000000e+03	9.304371148157870900e-16	3.821381703542386229e-17
3.227000000000000000e+03	1.125359690714916501e-15	3.935822832532225223e-17
3.228000000000000000e+03	1.000716037580720332e-15	4.089221935590626727e-17
3.229000000000000000e+03	8.253303443384770018e-16	4.033278237450530639e-17
3.230000000000000000e+03	8.978731827639463042e-16	2.998905474803085555e-17
3.231000000000000000e+03	9.031375115060429240e-16	3.084485318721302285e-17
3.232000000000000000e+03	9.363499859484391071e-16	2.855774913823465345e-17
3.233000000000000000e+03	9.828004376783184927e-16	2.904256192967888345e-17
3.234000000000000000e+03	9.656493005589025778e-16	3.047210121046496883e-17
3.235000000000000000e+03	9.292784370597977380e-16	3.191812272600579150e-17
3.236000000000000000e+03	8.601231853302638954e-16	3.168597909883554330e-17
3.237000000000000000e+03	9.630919818309789728e-16	3.118864507312889600e-17
3.238000000000000000e+03	9.635739654205751495e-16	2.997117411070024687e-17
3.239000000000000000e+03	9.117033064193497010e-16	2.864127519346586302e-17
3.240000000000000000e+03	9.762949013588066372e-16	3.116451688071188077e-17
3.241000000000000000e+03	1.023114769134982170e-15	3.057683054537821617e-17
3.242000000000000000e+03	9.493737060300715018e-16	3.018006843839222445e-17
3.243000000000000000e+03	9.615273316858469854e-16	3.044187857662876221e-17
3.244000000000000000e+03	1.013742812229269315e-15	2.635200335384634446e-17
3.245000000000000000e+03	1.020726156360637371e-15	2.494469196920651904e-17
3.246000000000000000e+03	1.028669276245101510e-15	2.238471071169286952e-17
3.247000000000000000e+03	9.664980720656912271e-16	2.089896763824540147e-17
3.248000000000000000e+03	9.945370123963747683e-16	2.037094114221826911e-17
3.249000000000000000e+03	9.485976811081960352e-16	2.271005253753817719e-17
3.250000000000000000e+03	9.824003504241226691e-16	2.641355643869095365e-17
3.251000000000000000e+03	9.862731733304500183e-16	2.615202170265327157e-17
3.252000000000000000e+03	9.499530992125399323e-16	2.784178774975501269e-17
3.253000000000000000e+03	9.869979051802610742e-16	3.614362400645654288e-17
3.254000000000000000e+03	1.066744995047020787e-15	6.085136942292510472e-17
3.255000000000000000e+03	1.311651821823227149e-15	5.989252024607751759e-17
3.256000000000000000e+03	1.320975881403279591e-15	5.799690255530174661e-17
3.257000000000000000e+03	1.054885922245099531e-15	5.835405167251796776e-17
3.258000000000000000e+03	1.102315801049890147e-15	3.802152526961232189e-17
3.259000000000000000e+03	9.794170016871871034e-16	2.904092084188916480e-17
3.260000000000000000e+03	1.032885522459995014e-15	2.774405055506557003e-17
3.261000000000000000e+03	1.103185505701787923e-15	3.023360599333264551e-17
3.262000000000000000e+03	1.074270175199931046e-15	2.834244300520631257e-17
3.263000000000000000e+03	1.037284439258649381e-15	3.215905576554146097e-17
3.264000000000000000e+03	1.060941859726425700e-15	3.318865283950486475e-17
3.265000000000000000e+03	1.164231849754021780e-15	3.129474832617546305e-17
3.266000000000000000e+03	1.108589718120875525e-15	3.422936637473413835e-17
3.267000000000000000e+03	1.082493510345439551e-15	3.276336919428617711e-17
3.268000000000000000e+03	1.059843630783072262e-15	3.056331751254045217e-17
3.269000000000000000e+03	1.093212871837052087e-15	2.889545218480074389e-17
3.270000000000000000e+03	1.150966474207204541e-15	2.493962252511345622e-17
3.271000000000000000e+03	1.045650578731591768e-15	2.485566259549064190e-17
3.272000000000000000e+03	1.030625500218929576e-15	2.622374051876672323e-17
3.273000000000000000e+03	1.123705160448796335e-15	2.706333196533628362e-17
3.274000000000000000e+03	1.067627804792748645e-15	3.029093814184905708e-17
3.275000000000000000e+03	1.169103559287257620e-15	6.206419056928384046e-17
3.276000000000000000e+03	1.309244980985980720e-15	8.445542499023750721e-17
3.277000000000000000e+03	1.830435423849996851e-15	8.459811530039006383e-17
3.278000000000000000e+03	1.163516650064650931e-15	8.677767847166426015e-17
3.279000000000000000e+03	1.068404847012129645e-15	7.821644180937608285e-17
3.280000000000000000e+03	1.147616295843792816e-15	4.324984240503037690e-17
3.281000000000000000e+03	1.363517937504797353e-15	4.422463591198108705e-17
