# SpT	SpTind	Teff_Tr14_It24	Teff_Templates	Teff_KH95	Teff_HH14	Teff_L03	Teff_PM13	Teff_PM13_MS	Tr14_ext	Tpl_ext	PMHH
O9.0	-41.0	nan	nan	nan	nan	nan	nan	34000.0	nan	nan	34000.0
O9.5	-40.5	nan	nan	nan	nan	nan	nan	32000.0	nan	nan	32000.0
B0.0	-40.0	nan	nan	30000.0	30000.0	nan	nan	31500.0	30000.0	30000.0	31500.0
B0.5	-39.5	nan	nan	nan	nan	nan	nan	29000.0	27700.0	27700.0	29000.0
B1.0	-39.0	nan	nan	25400.0	nan	nan	nan	26000.0	25400.0	25400.0	26000.0
B1.5	-38.5	nan	nan	nan	nan	nan	nan	24800.0	23700.0	23700.0	24800.0
B2.0	-38.0	nan	nan	22000.0	nan	nan	nan	20600.0	22000.0	22000.0	20600.0
B2.5	-37.5	nan	nan	nan	nan	nan	nan	18500.0	20350.0	20350.0	18500.0
B3.0	-37.0	nan	nan	18700.0	nan	nan	nan	17000.0	18700.0	18700.0	17000.0
B4.0	-36.0	nan	nan	17000.0	nan	nan	nan	16700.0	17000.0	17000.0	16700.0
B5.0	-35.0	nan	nan	15400.0	15400.0	nan	nan	15700.0	15400.0	15400.0	15700.0
B6.0	-34.0	nan	nan	14000.0	nan	nan	nan	14500.0	14000.0	14000.0	14500.0
B7.0	-33.0	nan	nan	13000.0	nan	nan	nan	14000.0	13000.0	13000.0	14000.0
B8.0	-32.0	nan	nan	11900.0	nan	nan	nan	12500.0	11900.0	11900.0	12500.0
B9.0	-31.0	nan	nan	10500.0	10500.0	nan	nan	10700.0	10500.0	10500.0	10700.0
B9.5	-30.5	nan	nan	nan	nan	nan	nan	10400.0	10010.0	10010.0	10400.0
A0.0	-30.0	nan	nan	9520.0	9520.0	nan	nan	9700.0	9520.0	9520.0	9700.0
A1.0	-29.0	nan	nan	9230.0	nan	nan	nan	9200.0	9230.0	9230.0	9200.0
A2.0	-28.0	nan	nan	8970.0	nan	nan	nan	8840.0	8970.0	8970.0	8840.0
A3.0	-27.0	nan	nan	8720.0	nan	nan	nan	8550.0	8720.0	8720.0	8550.0
A4.0	-26.0	nan	nan	8460.0	nan	nan	nan	8270.0	8460.0	8460.0	8270.0
A5.0	-25.0	nan	nan	8200.0	8200.0	nan	nan	8080.0	8200.0	8200.0	8080.0
A6.0	-24.0	nan	nan	8350.0	nan	nan	nan	8000.0	8350.0	8350.0	8000.0
A7.0	-23.0	nan	nan	7850.0	nan	nan	nan	7800.0	7850.0	7850.0	7800.0
A8.0	-22.0	nan	nan	7580.0	nan	nan	nan	7500.0	7580.0	7580.0	7500.0
A9.0	-21.0	nan	nan	7390.0	nan	nan	nan	7440.0	7390.0	7390.0	7440.0
F0.0	-20.0	nan	nan	7200.0	7200.0	nan	7280.0	7200.0	7200.0	7200.0	7280.0
F1.0	-19.0	nan	nan	7050.0	nan	nan	6990.0	7030.0	7050.0	7050.0	6990.0
F2.0	-18.0	nan	nan	6890.0	nan	nan	6710.0	6810.0	6890.0	6890.0	6710.0
F3.0	-17.0	nan	nan	6740.0	nan	nan	6660.0	6720.0	6740.0	6740.0	6660.0
F4.0	-16.0	nan	nan	6590.0	nan	nan	6590.0	6640.0	6590.0	6590.0	6590.0
F5.0	-15.0	nan	nan	6440.0	6600.0	nan	6420.0	6510.0	6440.0	6440.0	6420.0
F6.0	-14.0	nan	nan	6360.0	nan	nan	6250.0	6340.0	6360.0	6360.0	6250.0
F7.0	-13.0	nan	nan	6280.0	nan	nan	6140.0	6240.0	6280.0	6280.0	6140.0
F8.0	-12.0	nan	nan	6200.0	6130.0	nan	6100.0	6150.0	6200.0	6200.0	6100.0
F9.0	-11.0	nan	nan	6115.0	nan	nan	6090.0	6040.0	6115.0	6115.0	6090.0
G0.0	-10.0	nan	nan	6030.0	5930.0	nan	6050.0	5920.0	6030.0	6030.0	6050.0
G1.0	-9.0	nan	nan	5945.0	nan	nan	5970.0	5880.0	5945.0	5945.0	5970.0
G2.0	-8.0	nan	nan	5860.0	5690.0	nan	5870.0	5770.0	5860.0	5860.0	5870.0
G3.0	-7.0	nan	nan	5830.0	nan	nan	5740.0	5720.0	5830.0	5830.0	5740.0
G4.0	-6.0	nan	5800.0	5800.0	nan	nan	5620.0	5680.0	5800.0	5800.0	5620.0
G5.0	-5.0	nan	5770.0	5770.0	5430.0	nan	5500.0	5660.0	5770.0	5770.0	5500.0
G6.0	-4.0	nan	nan	5700.0	nan	nan	5390.0	5590.0	5700.0	5686.666666666667	5390.0
G7.0	-3.0	nan	nan	5630.0	nan	nan	5290.0	5530.0	5630.0	5603.333333333334	5290.0
G8.0	-2.0	5430.0	5520.0	5520.0	5180.0	nan	5210.0	5490.0	5430.0	5520.0	5210.0
G9.0	-1.0	5310.0	5410.0	5410.0	5025.0	nan	5120.0	5340.0	5310.0	5410.0	5120.0
K0.0	0.0	5172.0	5110.0	5250.0	4870.0	nan	5030.0	5280.0	5172.0	5110.0	5030.0
K0.5	0.5	5108.0	5050.0	nan	4830.0	nan	nan	nan	5108.0	5050.0	nan
K1.0	1.0	5040.0	5000.0	5080.0	4790.0	nan	4920.0	5170.0	5040.0	5000.0	4920.0
K2.0	2.0	4894.0	4900.0	4900.0	4710.0	nan	4760.0	5040.0	4894.0	4900.0	4760.0
K3.0	3.0	4733.0	4730.0	4730.0	4540.0	nan	4550.0	4840.0	4733.0	4730.0	4550.0
K4.0	4.0	4561.0	4590.0	4590.0	4375.0	nan	4330.0	4620.0	4561.0	4590.0	4375.0
